GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DropWizard-Twitter,org.example.Configuration,CacheConfiguration.new CacheLoader() {...},5,6,0,0,1,1,1,1,1,1
DropWizard-Twitter,org.example.Configuration,AppConfiguration,3,0,0,0,2,0,1,0,1,0
DropWizard-Twitter,org.example.Configuration,Log,3,49,2,4,1,15,2,4,0,3
DropWizard-Twitter,org.example.Configuration,CacheConfiguration,25,25,1,1,4,10,2,2,1,2
DropWizard-Twitter,org.example.Configuration,ConfigurationReader,14,22,1,1,1,8,1,2,0,2
DropWizard-Twitter,org.example.Configuration,TwitterObjectBuilder,0,58,0,2,0,16,0,4,0,3
DropWizard-Twitter,org.example.Configuration,PropertyReader,39,0,2,0,8,0,3,0,2,0
DropWizard-Twitter,org.example.Spring,SpringConfiguration,3,0,0,0,1,0,1,0,1,0
DropWizard-Twitter,org.example.Models,Tweet,82,54,0,0,16,13,11,4,11,4
DropWizard-Twitter,org.example.Services,AppService,57,100,2,2,17,26,3,5,2,4
DropWizard-Twitter,org.example,App,59,0,0,0,12,0,4,0,4,0
DropWizard-Twitter,org.example.Resources,AppController,41,0,0,0,9,0,5,0,5,0
